rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.45,11,2,90,4,189.1488372,None,189.1488372,None,189.1488372,None,right,0.6532096000000251,189.21807279999996,None,189.1488372,None,189.89539889999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,11,3,91,3,190.0988924,None,190.0988924,None,190.0988924,None,right,0.5457025999999701,190.16840529999996,None,190.0988924,None,190.7379993,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,11,4,92,2,190.9510459,None,190.9510459,None,190.9510459,None,right,0.5406806999999958,191.02140980000001,None,190.9510459,None,191.5863782,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,11,5,93,1,191.7897478,None,191.7897478,None,191.7897478,None,right,0.43153790000002346,191.85892819999998,None,191.7897478,None,192.31389789999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,11,6,94,5,192.5206963,None,192.5206963,None,192.5206963,None,right,0.6364153999999758,192.5905558,None,192.5206963,None,193.25074969999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,11,7,95,6,193.4659319,None,193.4659319,None,193.4659319,None,right,0.5489585999999917,193.5349602,None,193.4659319,None,194.10722849999996,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,12,0,96,4,194.31707719999997,None,194.31707719999997,None,194.31707719999997,None,right,0.4007299999999532,194.3909531,None,194.31707719999997,None,194.8187087,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,12,1,97,1,195.02749109999996,None,195.02749109999996,None,195.02749109999996,None,right,0.931523900000002,195.0983741,None,195.02749109999996,None,196.05331919999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,12,2,98,0,196.2573094,None,196.2573094,None,196.2573094,None,right,0.5591339000000062,196.3295726,None,196.2573094,None,196.9126061,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,12,3,99,2,197.12095829999998,None,197.12095829999998,None,197.12095829999998,None,right,1.2940757999999732,197.1905221,None,197.12095829999998,None,198.5079118,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,12,4,100,5,198.7111706,None,198.7111706,None,198.7111706,None,right,0.6987522000000013,198.78057789999997,None,198.7111706,None,199.50219449999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,12,5,101,3,199.7072389,None,199.7072389,None,199.7072389,None,right,0.719813600000009,199.77708759999996,None,199.7072389,None,200.5213776,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,12,6,102,7,200.72387099999997,None,200.72387099999997,None,200.72387099999997,None,right,1.3330980000000068,200.7931696,None,200.72387099999997,None,202.14890049999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,12,7,103,6,202.3531115,None,202.3531115,None,202.3531115,None,right,0.7538342999999941,202.42316039999997,None,202.3531115,None,203.201009,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,13,0,104,2,203.40457659999998,None,203.40457659999998,None,203.40457659999998,None,right,0.9746976000000132,203.47452069999997,None,203.40457659999998,None,204.47322809999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,13,1,105,1,204.6783314,None,204.6783314,None,204.6783314,None,left,5.234671300000002,204.74684759999997,None,204.6783314,None,210.00608139999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,13,2,106,0,210.2133506,None,210.2133506,None,210.2133506,None,left,0.9762647999999672,210.28584769999998,None,210.2133506,None,211.28613489999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,13,3,107,5,211.4869652,None,211.4869652,None,211.4869652,None,right,0.7187908999999877,211.55791729999999,None,211.4869652,None,212.2991811,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,13,4,108,7,212.50439739999996,None,212.50439739999996,None,212.50439739999996,None,right,0.9576230000000123,212.57521559999998,None,212.50439739999996,None,213.55755169999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,13,5,109,6,213.76463639999997,None,213.76463639999997,None,213.76463639999997,None,right,0.7466325000000325,213.8335141,None,213.76463639999997,None,214.60531959999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,13,6,110,3,214.81130889999997,None,214.81130889999997,None,214.81130889999997,None,left,3.0988035999999965,214.88496149999997,None,214.81130889999997,None,218.00810359999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,13,7,111,4,218.2261762,None,218.2261762,None,218.2261762,None,right,0.5645020000000045,218.29931799999997,None,218.2261762,None,218.8872232,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,14,0,112,0,219.0924091,None,219.0924091,None,219.0924091,None,left,0.6279155999999944,219.1622244,None,219.0924091,None,219.81442099999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,14,1,113,1,220.01871999999997,None,220.01871999999997,None,220.01871999999997,None,left,1.6745730000000094,220.0906754,None,220.01871999999997,None,221.78942389999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,14,2,114,2,221.99480489999996,None,221.99480489999996,None,221.99480489999996,None,left,0.7919853000000217,222.06406369999996,None,221.99480489999996,None,222.8798322,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
